idProd,nombre
"6",1 2 3 - Cártamo
"34",1 2 3 - Girasol
"80",1 2 3 - Vegetal Mixto
"7",As - Cártamo
"35",As - Girasol
"51",As - Maíz
"74",As - Soya
"81",As - Vegetal Mixto
"52",Astro - Maíz
"8",Aurora - Cártamo
"53",Aurora - Maíz
"82",Aurora - Vegetal Mixto
"9",Ave - Cártamo
"36",Ave - Girasol
"83",Ave - Vegetal Mixto
"126",Batalla - Vegetal Mixto
"54",C. Ched - Maíz
"84",C. Ched - Vegetal Mixto
"37",Capi - Girasol
"10",Capullo - Cártamo
"38",Capullo - Girasol
"55",Capullo - Maíz
"85",Capullo - Vegetal Mixto
"39",Casa - Girasol
"56",Casa - Maíz
"11",Cocinera - Cártamo
"86",Cocinera - Vegetal Mixto
"87",Corona - Vegetal Mixto
"124",Costeño - Vegetal Mixto
"12",Cristal - Cártamo
"40",Cristal - Girasol
"71",Cristal - Maíz
"88",Cristal - Vegetal Mixto
"13",Chedraui - Cártamo
"41",Chedraui - Girasol
"57",Chedraui - Maíz
"89",Chedraui - Vegetal Mixto
"58",Dorela - Maíz
"128",Dovsa - Vegetal Mixto
"59",Frisco - Maíz
"42",Gigante - Girasol
"60",Gigante - Maíz
"90",Gigante - Vegetal Mixto
"91",Gloria - Vegetal Mixto
"43",Grano de oro - Girasol
"72",Grano de oro - Maíz
"92",Grano de oro - Vegetal Mixto
"93",Great value - Vegetal Mixto
"14",Hogar - Cártamo
"94",Hogar - Vegetal Mixto
"15",Humaya - Cártamo
"95",Humaya - Vegetal Mixto
"16",Hysa - Cártamo
"44",Hysa - Girasol
"96",Hysa - Vegetal Mixto
"75",Imperial - Soya
"30",Kartamin - Cártamo
"45",Kártamo - Girasol
"17",Kartamus - Cártamo
"97",Kartamus - Vegetal Mixto
"125",K-cero - Vegetal Mixto
"98",Klaro - Vegetal Mixto
"61",La Gloria - Maíz
"99",La niña - Vegetal Mixto
"100",La santina - Vegetal Mixto
"46",La torre - Girasol
"101",La torre - Vegetal Mixto
"47",Libanol - Girasol
"102",Libanol - Vegetal Mixto
"18",Libertador - Cártamo
"103",Libertador - Vegetal Mixto
"104",Lirio - Vegetal Mixto
"105",Lucero - Vegetal Mixto
"62",Maceite - Maíz
"63",Maizol - Maíz
"19",Maravilla - Cártamo
"107",Maravilla - Vegetal Mixto
"20",Marfil - Cártamo
"106",Marfil - Vegetal Mixto
"64",Mazola - Maíz
"65",Mazola imp. - Maíz
"66",Monarca - Maíz
"76",Monarca - Soya
"108",Monarca - Vegetal Mixto
"21",Negrita - Cártamo
"109",Negrita - Vegetal Mixto
"800",Nutrioli - Soya
"110",Oli - Vegetal Mixto
"111",Oltus - Vegetal Mixto
"127",Oro plus - Vegetal Mixto
"22",Patrona - Cártamo
"48",Patrona - Girasol
"67",Patrona - Maíz
"112",Patrona - Vegetal Mixto
"23",Pirámide - Cártamo
"68",Pirámide - Maíz
"77",Pirámide - Soya
"113",Pirámide - Vegetal Mixto
"24",Premier - Cártamo
"114",Primor - Vegetal Mixto
"900",Sabrosano - Vegetal Mixto
"25",Sahuayo - Cártamo
"115",Sahuayo - Vegetal Mixto
"26",Santa Lucía - Cártamo
"49",Santa Lucía - Girasol
"116",Santa Lucía - Vegetal Mixto
"117",Santísima - Vegetal Mixto
"27",Sarita - Cártamo
"69",Sarita - Maíz
"118",Sarita - Vegetal Mixto
"5",Sin especificar - Cártamo
"33",Sin especificar - Girasol
"50",Sin especificar - Maíz
"73",Sin especificar - Soya
"79",Sin especificar - Vegetal Mixto
"119",Soraya - Vegetal Mixto
"70",Springfield imp. - Maíz
"78",Springfield imp. - Soya
"120",Tayde verde - Vegetal Mixto
"121",Trébol - Vegetal Mixto
"28",Tulipán - Cártamo
"122",Tulipán - Vegetal Mixto
"29",Victoria - Cártamo
"123",Volcán - Vegetal Mixto
