id,destino
11,'Aguascalientes: Central de Abasto de Aguascalientes'
10,'Aguascalientes: Centro Comercial Agropecuario de Aguascalientes'
20,'Baja California Sur: Unión de Comerciantes de La Paz'
33,'Baja California: Central de Abasto INDIA, Tijuana'
40,'Campeche: Mercado "Pedro Sainz de Baranda", Campeche'
70,'Chiapas: Central de Abasto de Tuxtla Gutiérrez'
61,'Chihuahua: Central de Abasto de Chihuahua'
63,'Chihuahua: Mercado de Abasto de Ciudad Juárez'
50,'Coahuila: Central de Abasto de La Laguna, Torreón'
80,'Colima: Centros de Distribución de Colima'
100,'D F: Central de Abasto de Iztapalapa D F'
102,'Durango: Central de Abasto "Francisco Villa"'
101,'Durango: Centro de Distribución y Abasto de Gómez Palacio'
121,'Guerrero: Central de Abastos de Acapulco'
110,'Guanajuato: Central de Abasto de León'
111,'Guanajuato: Módulo de Abasto Irapuato'
130,'Hidalgo: Central de Abasto de Pachuca'
140,'Jalisco: Mercado de Abasto de Guadalajara'
141,'Jalisco: Mercado Felipe Ángeles de Guadalajara'
151,'México: Central de Abasto de Ecatepec'
150,'México: Central de Abasto de Toluca'
160,'Michoacán: Mercado de Abasto de Morelia'
170,'Morelos: Central de Abasto de Cuautla'
180,'Nayarit: Mercado de Abasto 'Adolfo López Mateos' de Tepic'
191,'Nuevo León: Central de Abasto de Guadalupe, Nvo. León'
190,'Nuevo León: Mercado de Abasto "Estrella" de San Nicolás de los Garza'
192,'Nuevo León: Mercado de Abasto de Santa Catarina'
200,'Oaxaca: Módulo de Abasto de Oaxaca'
210,'Puebla: Central de Abasto de Puebla'
230,'Quintana Roo: Mercado de Chetumal, Quintana Roo'
220,'Querétaro: Mercado de Abasto de Querétaro'
250,'Sinaloa: Central de Abasto de Culiacán'
240,'San Luis Potosí: Centro de Abasto de San Luis Potosí'
261,'Sonora: Central de Abasto de Cd. Obregón'
260,'Sonora: Mercado de Abasto "Francisco I. Madero" de Hermosillo'
262,'Sonora: Mercado de Abasto "Olímpico" de Hermosillo'
270,'Tabasco: Central de Abasto de Villahermosa'
280,'Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira'
301,'Veracruz: Central de Abasto de Jalapa'
302,'Veracruz: Central de Abasto de Minatitlán'
303,'Veracruz: Central de Abasto Sur de las Huastecas, Poza Rica'
306,'Veracruz: Mercado Malibrán'
307,'Veracruz: Centros Mayoristas de Xalapa'
308,'Veracruz: Mercado de San José de Xalapa'
310,'Yucatán: Central de Abasto de Mérida'
311,'Yucatán: Centro Mayorista Oxcutzkab'
312,'Yucatán: Mercado "Casa del Pueblo"'
320,'Zacatecas: Mercado de Abasto de Zacatecas'
