idProd,nombre
"129",Agapando Blanco
"149",Alhelí
"150",Anturio mediano
"153",Aster o Montecasino
"154",Ave del paraíso grande
"189",Cempasúchil
"218",Clavel grande
"266",Crisantemo de invernadero
"289",Dollar
"367",Gerbera grande
"368",Gladiola grande
"369",Gladiola mediana
"388",Iris
"411",Lilium asiático
"416",Limonium
"446",Margarita
"498",Miniclavel
"541",Nardo grande
"561",Nube
"738",Polar grande
"739",Pompón
"778",Rosa Criolla tallo corto
"779",Rosa Criolla tallo largo
"780",Rosa de invernadero
"781",Rosa tallo corto
"782",Rosa tallo largo
"807",Terciopelo
