idProd,nombre
"31",Acelga - Primera
"130",Aguacate Criollo - Primera
"131",Aguacate Fuerte - Primera
"136",Aguacate Hass - Calidad extra
"137",Aguacate Hass - Calidad super extra
"133",Aguacate Hass - Primera
"135",Aguacate Hass adelantado - Primera
"138",Aguacate Hass flor vieja - Primera
"139",Aguacate Pagua - Primera
"142",Ajo Blanco - Primera
"144",Ajo Blanco # 8 - Primera
"146",Ajo Morado - Primera
"152",Apio - Primera
"157",Berenjena - Primera
"160",Betabel - Primera
"162",Brócoli - Primera
"181",Cacahuate - Primera
"166",Calabacita Criolla - Primera
"170",Calabacita Italiana - Primera
"180",Calabacita regional - Primera
"169",Calabaza de castilla - Primera
"175",Camote - Primera
"178",Caña - Primera
"183",Cebolla Bola - Primera
"182",Cebolla Bola grande - Primera
"190",Cebolla de rabo - Primera
"187",Cebolla Morada - Primera
"208",Cilantro - Primera
"196",Ciruela Amarilla - Primera
"197",Ciruela Claudia - Primera
"198",Ciruela huesuda Amarilla - Primera
"199",Ciruela huesuda Roja - Primera
"200",Ciruela Moscatel - Primera
"201",Ciruela Negra - Primera
"203",Ciruela pasa - Primera
"207",Ciruela Roja - Primera
"250",Coco - Primera
"253",Col grande - Primera
"257",Col mediana - Primera
"265",Col sin clasificación - Primera
"263",Coliflor grande - Primera
"261",Coliflor mediana - Primera
"260",Coliflor sin clasificación - Primera
"270",Champiñón - Primera
"275",Chayote - Primera
"272",Chayote sin espinas - Primera
"285",Chícharo - Primera
"279",Chícharo arrugado - Primera
"215",Chile Anaheim - Primera
"216",Chile ancho - Primera
"221",Chile California - Primera
"222",Chile Caloro - Primera
"223",Chile Caribe - Primera
"220",Chile Cat - Primera
"225",Chile Chilaca - Primera
"213",Chile de Árbol fresco - Primera
"217",Chile de Árbol seco - Primera
"227",Chile Dulce - Primera
"228",Chile Guajillo - Primera
"230",Chile Habanero - Primera
"232",Chile Húngaro - Primera
"233",Chile Jalapeño - Primera
"236",Chile Mirasol - Primera
"237",Chile Pasilla - Primera
"239",Chile Pimiento morrón - Primera
"242",Chile Poblano - Primera
"238",Chile Puya fresco - Primera
"245",Chile Puya seco - Primera
"246",Chile Serrano - Primera
"290",Durazno Amarillo - Primera
"294",Durazno Melocotón - Primera
"297",Durazno Prisco - Primera
"302",Ejote - Primera
"299",Ejote largo - Primera
"304",Ejote redondo - Primera
"308",Elote - Primera
"306",Elote grande - Primera
"307",Elote mediano - Primera
"312",Epazote - Primera
"314",Espárrago - Primera
"316",Espinaca - Primera
"358",Fresa - Primera
"356",Fresa Chandler - Primera
"372",Granada China - Primera
"373",Granada Roja - Primera
"374",Guanabana - Primera
"378",Guayaba - Primera
"385",Haba verde - Primera
"389",Jamaica - Primera
"392",Jícama - Primera
"396",Jícama mediana - Primera
"397",Jícama piñatera - Primera
"399",Kiwi - Primera
"401",Lechuga Orejona grande - Primera
"403",Lechuga Orejona sin clasificación - Primera
"405",Lechuga Romanita grande - Primera
"407",Lechuga Romanita mediana - Primera
"409",Lechuga Romanita sin clasificación - Primera
"413",Lima - Primera
"417",Limón c/semilla # 2 - Primera
"418",Limón c/semilla # 3 - Primera
"419",Limón c/semilla # 4 - Primera
"421",Limón c/semilla # 5 - Primera
"423",Limón c/semilla sin clasificación - Primera
"426",Limón s/semilla - Primera
"429",Mamey - Primera
"451",Mandarina - Primera
"447",Mandarina Mónica - Primera
"455",Mandarina Reyna - Primera
"459",Mandarina Tangerina - Primera
"465",Mango Ataulfo - Primera
"469",Mango Criollo - Primera
"473",Mango Haden - Primera
"479",Mango Kent - Primera
"480",Mango Manila - Primera
"485",Mango Manililla - Primera
"489",Mango Oro - Primera
"494",Mango Tommy - Primera
"519",Manzana Golden Delicious - Primera
"522",Manzana Red Delicious - Primera
"526",Manzana Starking - Primera
"500",Melón Cantaloupe # 12 - Primera
"501",Melon Cantaloupe # 14 - Primera
"502",Melón Cantaloupe # 15 - Primera
"503",Melón Cantaloupe # 16 - Primera
"505",Melón Cantaloupe # 18 - Primera
"506",Melón Cantaloupe # 22 - Primera
"507",Melón Cantaloupe # 23 - Primera
"508",Melón Cantaloupe # 27 - Primera
"510",Melon Cantaloupe # 36 - Primera
"512",Melón Cantaloupe # 45 - Primera
"513",Melón Cantaloupe # 48 - Primera
"499",Melón Cantaloupe # 9 - Primera
"516",Melón Cantaloupe sin clasificación - Primera
"529",Membrillo - Primera
"539",Nanche - Primera
"534",Naranja Agria - Primera
"536",Naranja March chica - Primera
"537",Naranja March grande - Primera
"538",Naranja March mediana - Primera
"546",Naranja Valencia chica - Primera
"549",Naranja Valencia grande - Primera
"551",Naranja Valencia mediana - Primera
"554",Nectarina - Primera
"560",Nopal - Primera
"556",Nopal grande - Primera
"565",Nuez - Primera
"566",Nuez - Western - Primera
"563",Nuez cáscara de papel - Primera
"567",Nuez Wichita - Primera
"607",Orégano - Primera
"740",Papa Alpha - Primera
"748",Papa Galeana - Primera
"749",Papa Gema - Primera
"753",Papa Marciana - Primera
"766",Papa Rouset - Primera
"767",Papa San José - Primera
"620",Papaya Amarilla - Primera
"609",Papaya Maradol - Primera
"623",Papaya Roja - Primera
"771",Pepino - Primera
"630",Pera Ángel - Primera
"645",Pera Asiática - Primera
"632",Pera Bartlett # 135 - Primera
"626",Pera Bosco - Primera
"634",Pera D´anjou # 100 - Primera
"638",Pera Lechera - Primera
"639",Pera Mantequilla - Primera
"640",Pera Paraíso - Primera
"635",Perejil - Primera
"646",Piña chica - Primera
"648",Piña grande - Primera
"651",Piña mediana - Primera
"655",Pistache - Primera
"774",Pitaya - Primera
"663",Plátano Chiapas - Primera
