idProd,nombre
"598",Alubia chica - 
"599",Alubia grande - 
"1",Arroz pulido Morelos - 
"3",Arroz pulido sin especificar - 
"2",Arroz pulido Sinaloa - 
"4",Arroz pulido tipo Morelos - 
"9085",Café en grano - 
"9086",Café molido - 
"332",Frijol Azufrado - 
"334",Frijol Bayo - 
"333",Frijol Bayo berrendo - 
"335",Frijol Cacahuate bola - 
"336",Frijol Cacahuate largo - 
"337",Frijol Canario - 
"338",Frijol Colorado - 
"339",Frijol Flor de junio - 
"340",Frijol Flor de mayo - 
"341",Frijol Garbancillo - 
"342",Frijol Garbancillo zarco - 
"343",Frijol Mayocoba - 
"347",Frijol Negro - 
"344",Frijol Negro bola - 
"345",Frijol Negro importado - 
"346",Frijol Negro Nayarit - 
"348",Frijol Negro Veracruz - 
"349",Frijol Ojo de cabra - 
"350",Frijol Peruano - 
"352",Frijol Pinto - 
"351",Frijol Pinto importado - 
"353",Frijol Serahui - 
"354",Frijol Tepari - 
"355",Frijol Yurimun - 
"600",Garbanzo chico - 
"601",Garbanzo grande - 
"602",Haba - 
"603",Lenteja chica - 
"604",Lenteja grande - 
"605",Maíz blanco - 
"606",Maíz blanco pozolero - 

